,season,team,identifier,name,unique_name,key_cricinfo,batting_style,player_type,bowling_style
1354,2015,Kolkata Knight Riders,edb3d4f8,KC Cariappa,KC Cariappa,777537,Right hand Bat,Bowler,Legbreak
1355,2015,Royal Challengers Bangalore,c03c6200,DJG Sammy,DJG Sammy,53115,Right hand Bat,Allrounder,Right arm Medium
1356,2015,Royal Challengers Bangalore,1a2676c5,SA Abbott,SA Abbott,398666,Right hand Bat,Allrounder,Right arm Fast medium
1357,2015,Sunrisers Hyderabad,d027ba9f,KS Williamson,KS Williamson,277906,Right hand Bat,Top order Batter,Right arm Offbreak
1358,2015,Sunrisers Hyderabad,9170ff49,Parvez Rasool,Parvez Rasool,378496,Right hand Bat,Bowling Allrounder,Right arm Offbreak
1359,2015,Sunrisers Hyderabad,5bb1a1c4,I Sharma,I Sharma,236779,Right hand Bat,Bowler,Right arm Fast medium
1360,2015,Sunrisers Hyderabad,a818c1be,TA Boult,TA Boult,277912,Right hand Bat,Bowler,Left arm Fast medium
1361,2015,Delhi Daredevils,1e66c162,JD Unadkat,JD Unadkat,390484,Right hand Bat,Bowler,Left arm Medium
1362,2015,Kings XI Punjab,26a85969,R Dhawan,R Dhawan,290727,Right hand Bat,Allrounder,Right arm Medium fast
1363,2015,Mumbai Indians,4125d931,J Suchith,J Suchith,527663,Left hand Bat,Bowler,Slow Left arm Orthodox
1364,2015,Mumbai Indians,cedc1d9a,P Suyal,P Suyal,431213,Right hand Bat,Bowler,Left arm Medium
1365,2015,Sunrisers Hyderabad,1c2a64cd,A Ashish Reddy,A Ashish Reddy,389605,Right hand Bat,Allrounder,Right arm Medium
1366,2015,Mumbai Indians,7a8bd078,S Gopal,S Gopal,344580,Right hand Bat,Allrounder,Legbreak
1367,2015,Sunrisers Hyderabad,d2a6c0e6,EJG Morgan,EJG Morgan,24598,Left hand Bat,Middle order Batter,Right arm Medium
1368,2015,Sunrisers Hyderabad,8fd1a8f5,DW Steyn,DW Steyn,47492,Right hand Bat,Bowler,Right arm Fast
1369,2015,Sunrisers Hyderabad,94253925,GH Vihari,GH Vihari,452044,Right hand Bat,Batting Allrounder,Right arm Offbreak
1370,2015,Kings XI Punjab,c03e2850,M Vohra,M Vohra,532856,Right hand Bat,Opening Batter,Right arm Medium
1371,2015,Kolkata Knight Riders,ded9240e,PJ Cummins,PJ Cummins,489889,Right hand Bat,Bowler,Right arm Fast
1372,2015,Kolkata Knight Riders,f708a0bc,GB Hogg,GB Hogg,5681,Left hand Bat,Allrounder,Left arm Wrist spin
1373,2015,Chennai Super Kings,f62772e5,P Negi,P Negi,530773,Left hand Bat,Bowler,Slow Left arm Orthodox
1374,2015,Chennai Super Kings,b2b23612,RG More,RG More,424219,Right hand Bat,NA,Right arm Medium
1375,2015,Delhi Daredevils,709b0bac,SS Tiwary,SS Tiwary,35390,Left hand Bat,Top order Batter,NA
1376,2015,Delhi Daredevils,91a4a398,Z Khan,Z Khan,30102,Right hand Bat,Bowler,Left arm Fast medium
1377,2015,Kings XI Punjab,1abb78f8,SN Thakur,SN Thakur,475281,Right hand Bat,Bowler,Right arm Medium
1378,2015,Rajasthan Royals,dec8e038,J Theron,J Theron,223642,Right hand Bat,Bowler,Right arm Medium fast
1379,2015,Delhi Daredevils,1558d83b,GS Sandhu,GS Sandhu,499660,Left hand Bat,Bowler,Right arm Fast medium
1380,2015,Rajasthan Royals,33a364a6,R Bhatia,R Bhatia,26907,Right hand Bat,Allrounder,Right arm Medium fast
1381,2015,Royal Challengers Bangalore,44afbf2d,NJ Maddinson,NJ Maddinson,333780,Left hand Bat,Opening Batter,Slow Left arm Orthodox
1382,2015,Royal Challengers Bangalore,957532de,S Aravind,S Aravind,290632,Left hand Bat,Bowler,Left arm Medium fast
1383,2015,Mumbai Indians,d4eef961,M de Lange,M de Lange,393279,Right hand Bat,Bowler,Right arm Fast
1384,2015,Kings XI Punjab,b56dc5f7,BE Hendricks,BE Hendricks,379927,Left hand Bat,Bowler,Left arm Fast medium
1385,2015,Delhi Daredevils,372455c4,Q de Kock,Q de Kock,379143,Left hand Bat,Wicketkeeper Batter,NA
1386,2015,Delhi Daredevils,81049310,J Yadav,J Yadav,447587,Right hand Bat,Bowler,Right arm Offbreak
1387,2015,Royal Challengers Bangalore,66b30f71,AB Dinda,AB Dinda,227712,Right hand Bat,Bowler,Right arm Medium fast
1388,2015,Chennai Super Kings,48fd7349,MEK Hussey,MEK Hussey,5939,Left hand Bat,Middle order Batter,Right arm Medium
1389,2015,Kolkata Knight Riders,9a158001,Azhar Mahmood,Azhar Mahmood,39024,Right hand Bat,Bowling Allrounder,Right arm Fast medium
1390,2015,Rajasthan Royals,d8b2f218,BB Sran,BB Sran,537126,Left hand Bat,Bowler,Left arm Medium
1391,2016,Mumbai Indians,89f64c19,LMP Simmons,LMP Simmons,53116,Right hand Bat,Top order Batter,Right arm Medium fast
1392,2016,Mumbai Indians,740742ef,RG Sharma,RG Sharma,34102,Right hand Bat,Top order Batter,Right arm Offbreak
1393,2016,Mumbai Indians,dbe50b21,HH Pandya,HH Pandya,625371,Right hand Bat,Allrounder,Right arm Medium fast
1394,2016,Mumbai Indians,99b75528,JC Buttler,JC Buttler,308967,Right hand Bat,Wicketkeeper Batter,NA
1395,2016,Mumbai Indians,70d205c9,AT Rayudu,AT Rayudu,33141,Right hand Bat,Middle order Batter,Right arm Offbreak
1396,2016,Mumbai Indians,a757b0d8,KA Pollard,KA Pollard,230559,Right hand Bat,Allrounder,Right arm Medium
1397,2016,Mumbai Indians,7a8bd078,S Gopal,S Gopal,344580,Right hand Bat,Allrounder,Legbreak
1398,2016,Mumbai Indians,8b5b6769,Harbhajan Singh,Harbhajan Singh,29264,Right hand Bat,Bowler,Right arm Offbreak
1399,2016,Mumbai Indians,41eb4a4f,R Vinay Kumar,R Vinay Kumar,35731,Right hand Bat,Bowler,Right arm Medium
1400,2016,Mumbai Indians,51a3c5ef,MJ McClenaghan,MJ McClenaghan,319439,Left hand Bat,Bowler,Left arm Fast medium
1401,2016,Mumbai Indians,462411b3,JJ Bumrah,JJ Bumrah,625383,Right hand Bat,Bowler,Right arm Fast
1402,2016,Rising Pune Supergiants,29e95537,AM Rahane,AM Rahane,277916,Right hand Bat,Top order Batter,Right arm Medium
1403,2016,Rising Pune Supergiants,3355b542,F du Plessis,F du Plessis,44828,Right hand Bat,Middle order Batter,Legbreak
1404,2016,Rising Pune Supergiants,39f01cdb,KP Pietersen,KP Pietersen,19296,Right hand Bat,Top order Batter,Right arm Offbreak
1405,2016,Rising Pune Supergiants,4a8a2e3b,MS Dhoni,MS Dhoni,28081,Right hand Bat,Wicketkeeper Batter,NA
1406,2016,Rising Pune Supergiants,30a45b23,SPD Smith,SPD Smith,267192,Right hand Bat,Middle order Batter,Legbreak Googly
1407,2016,Rising Pune Supergiants,33a364a6,R Bhatia,R Bhatia,26907,Right hand Bat,Allrounder,Right arm Medium fast
1408,2016,Rising Pune Supergiants,3d8feaf8,MR Marsh,MR Marsh,272450,Right hand Bat,Allrounder,Right arm Medium
1409,2016,Rising Pune Supergiants,495d42a5,R Ashwin,R Ashwin,26421,Right hand Bat,Bowling Allrounder,Right arm Offbreak
1410,2016,Rising Pune Supergiants,5bb1a1c4,I Sharma,I Sharma,236779,Right hand Bat,Bowler,Right arm Fast medium
1411,2016,Rising Pune Supergiants,e2db2409,M Ashwin,M Ashwin,528067,Right hand Bat,Bowler,Legbreak Googly
1412,2016,Rising Pune Supergiants,c3d1402f,RP Singh,RP Singh,35280,Right hand Bat,Bowler,Left arm Fast medium
1413,2016,Delhi Daredevils,00ea847a,MA Agarwal,MA Agarwal,398438,Right hand Bat,Batter,Right arm Offbreak
